activity_a,activity_b,capacity_a,capacity_b,count,weighted
Band,Band,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,548,3.65333333333333
Math Teams (V & JV),Physics Team,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,424,2.16326530612245
Open Music Practice-Strings Only,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,408,5.1
Computer Team (Freshman),Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,392,4.55813953488372
Math Teams (V & JV),Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,392,2.36144578313253
Math Teams (V & JV),Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,336,2.02409638554217
Math Teams (V & JV),Computer Team (Freshman),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,336,2.21052631578947
Computer Team (Senior),Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,320,2.78260869565217
Math Teams (V & JV),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,320,1.95121951219512
Lab 16 - AP Comp Sci,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,304,5.24137931034483
Computer Team (Intermediate),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,296,3.7
Lab 16 - AP Comp Sci,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,296,3.7
Chess Club,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,288,2.93877551020408
CS: Lab 211,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,288,3.69230769230769
Medical Society,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,280,2.8
Computer Team (Freshman),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,280,3.33333333333333
Math Teams (V & JV),Computer Team (Senior),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,280,1.54696132596685
Chess Club,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,264,3.3
History Quiz Bowl,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: History Quiz Bowl>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,264,3.3
Computer Team (Freshman),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,256,3.87878787878788
CS: Lab 211,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,256,3.36842105263158
Namaste,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,256,2.13333333333333
Design & Tech  Tutoring/Makeups (Geiger),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,248,4.27586206896552
Computer Team (Intermediate),Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,248,2.48
Namaste,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,244,2.21818181818182
CS: Lab 211,Namaste,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,244,2.48979591836735
Drama,Choir,<bound method EighthActivity.capacity of <EighthActivity: Drama>>,<bound method EighthActivity.capacity of <EighthActivity: Choir>>,240,2.0
Band,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,232,1.71851851851852
Awesome Association,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,232,2.9
Biology Olympiad,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Biology Olympiad>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,228,2.28
Computer Team (Intermediate),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,224,2.28571428571429
Computer Team (Intermediate),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,224,2.87179487179487
Computer Team (Intermediate),Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,220,2.44444444444444
Model UN,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,220,1.69230769230769
CS: Lab 211,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,216,3.72413793103448
Biology Olympiad,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Biology Olympiad>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,216,2.16
Design & Tech Tutoring (Seyler),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,216,2.76923076923077
Lab 211 - Open Computer Lab,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,216,3.85714285714286
Latin: Certamen  (Lister),Latin Convention Meeting,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,216,2.45454545454545
Debate: Practice,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Debate: Practice>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,212,2.65
Design & Tech Tutoring (Seyler),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,208,3.58620689655172
Quizbowl (It's Academic),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,208,2.66666666666667
Spanish Tertulia (Pou) Level 2,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,208,3.85185185185185
Dev Club,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,208,3.46666666666667
Physics Team,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,200,1.5625
IBET Project Work (James),Design & Tech Tutoring (Jones only),<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Jones only)>>,200,3.57142857142857
Chess Club,Future Problem Solving,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,200,1.33333333333333
Computer Security,Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,200,2.85714285714286
Design & Tech Tutoring (Seyler),Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,200,2.5
Latin Convention Meeting,Latin Exam,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Exam>>,200,3.57142857142857
TJ Media (R),Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,200,3.33333333333333
